deal_id,deal_date,city,neighborhood,street,house_number,property_type,rooms,sqm,price,lat,lon
100031,2024-07-10,Tel Aviv,Lev HaIr,Ben Yehuda,123,private_house,2.5,55,3394000,32.074047,34.766192
100032,2026-02-18,Tel Aviv,Neve Tzedek,Ahad HaAm,103,apartment,6,160,8973000,32.103510,34.775475
100033,2025-11-24,Tel Aviv,Lev HaIr,Frug,168,apartment,3,62,3765000,32.088063,34.769456
100034,2025-01-17,Tel Aviv,Ramat Aviv,Allenby,141,apartment,5.5,140,6590000,32.086682,34.783290
100035,2024-07-21,Tel Aviv,Lev HaIr,Marmorek,50,apartment,2.5,55,2098000,32.080654,34.789973
100036,2024-12-20,Tel Aviv,Old North,Rambam,84,private_house,3,68,3621000,32.063429,34.775542
100037,2026-03-16,Tel Aviv,Yad Eliyahu,Marmorek,133,garden_apartment,6,160,7728000,32.095859,34.793272
100038,2026-01-04,Tel Aviv,Florentin,Sokolov,131,apartment,5,110,4527000,32.099785,34.766910
100039,2024-09-01,Tel Aviv,Neve Tzedek,Ahad HaAm,159,apartment,2,45,2389000,32.078555,34.784917
100040,2024-06-18,Tel Aviv,Florentin,Sokolov,124,garden_apartment,5,110,5943000,32.088349,34.779051
100041,2025-11-03,Tel Aviv,Florentin,Sokolov,8,apartment,3.5,75,4143000,32.086726,34.766315
100042,2024-12-16,Tel Aviv,Old North,Ben Yehuda,178,garden_apartment,5,120,6661000,32.071145,34.786170
100043,2025-01-13,Tel Aviv,Lev HaIr,Tchernichovsky,144,apartment,5,110,6769000,32.078616,34.785292
100044,2026-01-13,Tel Aviv,Neve Tzedek,Weizmann,19,apartment,4,90,4467000,32.085575,34.786468
100045,2024-07-01,Tel Aviv,Neve Tzedek,Hartom,165,apartment,3.5,75,4149000,32.060292,34.775686
100046,2025-12-28,Tel Aviv,Yad Eliyahu,Hartom,25,apartment,4.5,100,5606000,32.090664,34.777067
100047,2024-07-03,Tel Aviv,Yad Eliyahu,HaShalom,87,garden_apartment,3,68,3809000,32.096131,34.785314
100048,2025-05-08,Tel Aviv,Yad Eliyahu,Sokolov,118,apartment,2,45,2595000,32.081871,34.770489
100049,2024-12-04,Tel Aviv,Florentin,Tchernichovsky,59,apartment,5,120,5762000,32.114603,34.790057
100050,2025-11-13,Tel Aviv,Neve Tzedek,Allenby,109,private_house,3.5,75,4126000,32.089199,34.773375
100051,2025-12-16,Tel Aviv,Old North,Weizmann,23,penthouse,5,110,6556000,32.077712,34.798937
100052,2025-03-08,Tel Aviv,Florentin,Bialik,163,apartment,2.5,55,3073000,32.086900,34.777043
100053,2025-10-02,Tel Aviv,Yad Eliyahu,Weizmann,142,apartment,2.5,55,2872000,32.091388,34.790288
100054,2026-01-05,Tel Aviv,Florentin,Hartom,62,garden_apartment,2,45,2264000,32.094477,34.780002
100055,2025-11-13,Tel Aviv,Old North,Frug,53,garden_apartment,3,68,4115000,32.078325,34.764912
100056,2025-08-13,Tel Aviv,Florentin,Bialik,65,private_house,4,82,4561000,32.104713,34.783678
100057,2024-10-30,Tel Aviv,Neve Tzedek,Herzl,169,apartment,3,68,3252000,32.084495,34.769027
100058,2025-04-10,Tel Aviv,Lev HaIr,Hartom,56,apartment,5,110,6107000,32.072826,34.800737
100059,2024-08-04,Tel Aviv,Florentin,Marmorek,34,apartment,3,62,2959000,32.091551,34.799606
100060,2025-08-29,Tel Aviv,Neve Tzedek,Bialik,22,apartment,4,90,5122000,32.098465,34.761417
100061,2024-06-30,Tel Aviv,Lev HaIr,Ahad HaAm,48,apartment,3.5,75,3352000,32.074580,34.781678
100062,2025-05-10,Tel Aviv,Florentin,Weizmann,63,garden_apartment,4,82,4348000,32.095389,34.779589
100063,2025-05-17,Tel Aviv,Neve Tzedek,Jabotinsky,129,apartment,3,62,3635000,32.085379,34.786113
100064,2026-05-12,Tel Aviv,Lev HaIr,Marmorek,23,apartment,2.5,55,3276000,32.082474,34.783867
100065,2026-04-24,Tel Aviv,Lev HaIr,Sokolov,193,garden_apartment,3.5,75,3823000,32.093534,34.771351
100066,2024-09-14,Tel Aviv,Yad Eliyahu,Weizmann,185,private_house,4,90,3979000,32.096673,34.797343
100067,2024-07-28,Tel Aviv,Neve Tzedek,Borochov,110,garden_apartment,3,62,3963000,32.091492,34.777489
100068,2024-11-27,Tel Aviv,Neve Tzedek,Marmorek,5,garden_apartment,5,110,4997000,32.063395,34.769019
100069,2024-06-17,Tel Aviv,Old North,Allenby,164,apartment,6,160,8137000,32.081343,34.793091
100070,2025-02-09,Tel Aviv,Neve Tzedek,Borochov,5,apartment,5,110,5607000,32.076488,34.780036
100071,2025-08-20,Tel Aviv,Florentin,Tchernichovsky,138,garden_apartment,2,45,2259000,32.086523,34.779407
100072,2025-01-17,Tel Aviv,Lev HaIr,Herzl,68,private_house,3.5,75,3792000,32.084247,34.773735
100073,2024-07-21,Tel Aviv,Old North,Tchernichovsky,176,apartment,4.5,100,4637000,32.085748,34.783569
100074,2024-07-28,Tel Aviv,Old North,Rambam,38,apartment,3,68,2985000,32.084810,34.801581
100075,2025-07-10,Tel Aviv,Neve Tzedek,Ahad HaAm,69,apartment,5,120,6192000,32.084515,34.788618
100076,2025-01-01,Tel Aviv,Yad Eliyahu,Sokolov,74,penthouse,3.5,75,4130000,32.065281,34.786156
100077,2024-11-01,Tel Aviv,Yad Eliyahu,Bialik,75,apartment,3,68,3502000,32.090008,34.794449
100078,2025-02-11,Tel Aviv,Florentin,Ben Yehuda,54,apartment,3.5,75,4195000,32.079516,34.778550
100079,2024-11-27,Tel Aviv,Old North,Borochov,131,private_house,3.5,75,4177000,32.083427,34.795976
100080,2025-09-23,Tel Aviv,Lev HaIr,HaShalom,7,apartment,4.5,100,4614000,32.099256,34.782115
100081,2025-02-10,Tel Aviv,Florentin,HaShalom,81,apartment,4,90,4626000,32.091560,34.782180
100082,2025-06-05,Tel Aviv,Neve Tzedek,Tchernichovsky,51,apartment,4,90,4697000,32.104941,34.783249
100083,2025-08-31,Tel Aviv,Old North,Rambam,20,private_house,4,82,4773000,32.090038,34.799774
100084,2026-03-29,Tel Aviv,Old North,Bialik,170,apartment,3.5,75,3582000,32.080792,34.776689
100085,2025-08-18,Tel Aviv,Florentin,Frug,110,apartment,4,90,4361000,32.084764,34.788231
100086,2024-10-27,Tel Aviv,Florentin,Hartom,21,apartment,5,110,4877000,32.096582,34.776788
100087,2024-08-26,Tel Aviv,Lev HaIr,Tchernichovsky,141,apartment,3,62,3059000,32.077533,34.787733
100088,2025-08-02,Tel Aviv,Neve Tzedek,Hartom,190,apartment,3.5,75,4364000,32.084181,34.799295
100089,2025-07-13,Tel Aviv,Florentin,Borochov,42,apartment,4.5,100,4664000,32.081065,34.788626
100090,2024-12-24,Tel Aviv,Yad Eliyahu,Ahad HaAm,86,apartment,5,110,7218000,32.071727,34.788458
100091,2025-09-10,Tel Aviv,Old North,Ben Yehuda,95,apartment,2.5,55,3087000,32.098909,34.784739
100092,2026-04-27,Tel Aviv,Yad Eliyahu,HaShalom,99,private_house,6,160,7774000,32.085085,34.773563
100093,2025-08-14,Tel Aviv,Neve Tzedek,Weizmann,33,garden_apartment,4,82,4313000,32.071210,34.764891
100094,2025-10-08,Tel Aviv,Yad Eliyahu,Tchernichovsky,64,apartment,2.5,55,2877000,32.074763,34.789480
100095,2025-07-02,Tel Aviv,Ramat Aviv,Tchernichovsky,122,private_house,2,45,2569000,32.094355,34.777133
100096,2024-11-23,Tel Aviv,Lev HaIr,Ben Yehuda,28,apartment,4.5,100,5266000,32.093547,34.793833
100097,2024-06-18,Tel Aviv,Yad Eliyahu,Marmorek,196,penthouse,2.5,55,3401000,32.078402,34.799690
100098,2026-05-16,Tel Aviv,Neve Tzedek,Rambam,10,apartment,3,62,3597000,32.078598,34.751797
100099,2024-08-14,Tel Aviv,Florentin,Herzl,26,private_house,3.5,75,3443000,32.083027,34.772849
100100,2025-11-02,Tel Aviv,Florentin,Ben Yehuda,154,apartment,4,90,6007000,32.095444,34.782468
100101,2025-01-31,Tel Aviv,Lev HaIr,Ahad HaAm,135,apartment,3.5,75,4589000,32.080896,34.779001
100102,2025-03-22,Tel Aviv,Florentin,Jabotinsky,15,penthouse,6,160,8329000,32.093882,34.805228
100103,2024-07-24,Tel Aviv,Lev HaIr,Tchernichovsky,95,apartment,4,90,5078000,32.089509,34.763304
100104,2025-03-13,Tel Aviv,Florentin,HaShalom,51,penthouse,4,82,4340000,32.091033,34.762982
100105,2024-12-17,Tel Aviv,Lev HaIr,Frug,50,apartment,2.5,55,3140000,32.115809,34.772608
100106,2025-07-19,Tel Aviv,Lev HaIr,Ahad HaAm,157,garden_apartment,2.5,55,2946000,32.096302,34.773428
100107,2024-07-05,Tel Aviv,Florentin,Bialik,55,apartment,2,45,2513000,32.083164,34.788352
100108,2026-03-25,Tel Aviv,Yad Eliyahu,Allenby,101,apartment,6,160,8310000,32.105264,34.766941
100109,2026-01-22,Tel Aviv,Neve Tzedek,Borochov,135,apartment,2.5,55,3167000,32.080831,34.771640
100110,2025-04-25,Tel Aviv,Florentin,Ahad HaAm,44,apartment,4,82,4395000,32.095021,34.781975
100111,2025-05-23,Tel Aviv,Old North,Ben Yehuda,98,private_house,4,90,5003000,32.083599,34.783011
100112,2025-03-01,Tel Aviv,Lev HaIr,Hartom,122,apartment,2.5,55,2594000,32.066528,34.801119
100113,2025-11-01,Tel Aviv,Lev HaIr,Borochov,106,apartment,4,82,3586000,32.104572,34.789554
100114,2026-04-06,Tel Aviv,Florentin,Ahad HaAm,17,apartment,4,90,3837000,32.084423,34.801684
100115,2024-09-04,Tel Aviv,Neve Tzedek,Bialik,68,garden_apartment,4,82,4003000,32.093521,34.779622
100116,2025-08-08,Tel Aviv,Ramat Aviv,Hartom,194,apartment,3.5,75,3538000,32.100023,34.773274
100117,2026-03-12,Tel Aviv,Yad Eliyahu,Ahad HaAm,199,penthouse,2,45,2424000,32.080223,34.788371
100118,2024-12-28,Tel Aviv,Neve Tzedek,Allenby,3,apartment,3,62,2424000,32.079245,34.799195
100119,2025-12-14,Tel Aviv,Florentin,Weizmann,153,apartment,5,120,6430000,32.109059,34.769869
100120,2025-12-05,Tel Aviv,Florentin,Herzl,167,apartment,3,68,3538000,32.070348,34.783528
100121,2025-12-04,Tel Aviv,Lev HaIr,Rambam,22,apartment,4,90,5967000,32.061482,34.793389
100122,2025-02-14,Tel Aviv,Yad Eliyahu,Allenby,107,apartment,3,62,3514000,32.072225,34.769474
100123,2024-11-12,Tel Aviv,Ramat Aviv,Jabotinsky,72,apartment,5.5,140,7441000,32.064463,34.780782
100124,2025-08-24,Tel Aviv,Lev HaIr,Ben Yehuda,48,apartment,3,68,3893000,32.086187,34.791514
100125,2024-10-02,Tel Aviv,Lev HaIr,Sokolov,135,apartment,3,68,3373000,32.095992,34.778543
100126,2025-01-27,Tel Aviv,Lev HaIr,Bialik,122,apartment,2,45,2258000,32.099634,34.759386
100127,2026-04-06,Tel Aviv,Lev HaIr,Marmorek,150,garden_apartment,3.5,75,3954000,32.089137,34.792283
100128,2025-11-16,Tel Aviv,Neve Tzedek,Jabotinsky,199,garden_apartment,4.5,100,4994000,32.090647,34.779901
100129,2024-09-14,Tel Aviv,Florentin,Weizmann,37,apartment,6,160,7889000,32.079547,34.784425
100130,2024-09-11,Tel Aviv,Florentin,Tchernichovsky,53,penthouse,6,160,9135000,32.090458,34.770626
100131,2025-05-02,Tel Aviv,Ramat Aviv,Frug,127,apartment,3,62,3142000,32.081968,34.769575
100132,2025-04-08,Tel Aviv,Ramat Aviv,Allenby,164,garden_apartment,5.5,140,7443000,32.091330,34.785688
100133,2024-06-04,Tel Aviv,Old North,HaShalom,14,apartment,3.5,75,3615000,32.090559,34.781071
100134,2025-03-19,Tel Aviv,Old North,Marmorek,197,apartment,4,90,3559000,32.077947,34.772385
100135,2025-03-29,Tel Aviv,Florentin,HaShalom,30,apartment,3,68,3994000,32.080735,34.761141
100136,2025-01-31,Tel Aviv,Ramat Aviv,Bialik,14,apartment,3,62,3701000,32.098898,34.798773
100137,2025-04-06,Tel Aviv,Lev HaIr,Sokolov,44,penthouse,2.5,55,2182000,32.073158,34.777684
100138,2025-11-23,Tel Aviv,Lev HaIr,HaShalom,126,apartment,2.5,55,3054000,32.078013,34.803476
100139,2026-04-03,Tel Aviv,Neve Tzedek,HaShalom,23,penthouse,4.5,100,4913000,32.100384,34.765513
100140,2025-12-04,Tel Aviv,Ramat Aviv,Marmorek,57,private_house,5.5,140,6230000,32.066133,34.794917
100141,2025-01-18,Tel Aviv,Old North,Allenby,99,garden_apartment,3,62,3151000,32.083900,34.788270
100142,2025-11-01,Tel Aviv,Neve Tzedek,Marmorek,194,garden_apartment,2,45,2510000,32.107549,34.787235
100143,2026-01-17,Tel Aviv,Neve Tzedek,Frug,79,penthouse,4,90,4149000,32.076423,34.767895
100144,2025-03-08,Tel Aviv,Ramat Aviv,Weizmann,115,penthouse,4,90,5083000,32.082883,34.782786
100145,2024-08-22,Tel Aviv,Lev HaIr,Frug,118,garden_apartment,4.5,100,4586000,32.088127,34.786305
100146,2026-03-10,Tel Aviv,Florentin,HaShalom,94,apartment,3,62,2891000,32.089887,34.768343
100147,2024-07-14,Tel Aviv,Ramat Aviv,Weizmann,185,penthouse,2,45,2506000,32.086902,34.799364
100148,2025-04-26,Tel Aviv,Florentin,Allenby,7,private_house,5.5,140,8054000,32.104770,34.781326
100149,2026-01-25,Tel Aviv,Neve Tzedek,Frug,43,apartment,3,68,4169000,32.103692,34.788420
100150,2026-03-11,Tel Aviv,Lev HaIr,Frug,65,garden_apartment,4,82,3155000,32.077896,34.796598
100151,2025-02-04,Tel Aviv,Old North,Ben Yehuda,152,apartment,3,62,3229000,32.116274,34.775205
100152,2025-05-01,Tel Aviv,Lev HaIr,Allenby,104,apartment,2,45,2225000,32.078964,34.774469
100153,2025-06-16,Tel Aviv,Florentin,Frug,136,apartment,4,90,5207000,32.103653,34.774376
100154,2025-02-08,Tel Aviv,Florentin,Rambam,177,garden_apartment,5,110,5284000,32.085110,34.796664
100155,2025-04-09,Tel Aviv,Old North,Rambam,38,apartment,6,160,8631000,32.076308,34.779395
100156,2025-09-24,Tel Aviv,Old North,Hartom,13,garden_apartment,3,62,3395000,32.089199,34.773490
100157,2024-08-01,Tel Aviv,Florentin,Bialik,192,penthouse,5,120,7736000,32.074213,34.783564
100158,2024-08-15,Tel Aviv,Florentin,Sokolov,94,apartment,4,90,5184000,32.091118,34.788156
100159,2024-07-18,Tel Aviv,Ramat Aviv,Jabotinsky,28,apartment,2,45,2383000,32.085421,34.776468
100160,2024-09-27,Tel Aviv,Old North,Allenby,53,garden_apartment,3.5,75,4199000,32.075604,34.772234
100161,2025-12-31,Tel Aviv,Florentin,Ahad HaAm,25,apartment,2,45,2556000,32.081821,34.766102
100162,2025-08-14,Tel Aviv,Florentin,Jabotinsky,3,private_house,4,90,3856000,32.075841,34.769614
100163,2025-05-24,Tel Aviv,Lev HaIr,Hartom,127,garden_apartment,5,120,5805000,32.075000,34.781973
100164,2026-03-15,Tel Aviv,Lev HaIr,HaShalom,48,apartment,5,110,5792000,32.099577,34.804055
100165,2026-01-30,Tel Aviv,Lev HaIr,Allenby,106,apartment,2,45,2050000,32.073891,34.764697
100166,2024-07-23,Tel Aviv,Lev HaIr,Marmorek,157,apartment,5.5,140,7206000,32.080950,34.781565
100167,2024-08-15,Tel Aviv,Florentin,Hartom,138,apartment,2,45,2814000,32.084581,34.772701
100168,2025-01-26,Tel Aviv,Lev HaIr,Borochov,116,penthouse,2.5,55,3148000,32.086152,34.787396
100169,2025-09-22,Tel Aviv,Old North,Tchernichovsky,178,penthouse,5.5,140,8118000,32.087920,34.779550
100170,2024-10-27,Tel Aviv,Old North,Borochov,134,apartment,5.5,140,6682000,32.077506,34.808244
100171,2025-10-07,Tel Aviv,Neve Tzedek,Tchernichovsky,61,apartment,2.5,55,2931000,32.083861,34.783866
100172,2025-06-17,Tel Aviv,Lev HaIr,Weizmann,154,apartment,3,68,3809000,32.068258,34.797915
100173,2024-06-07,Tel Aviv,Neve Tzedek,Marmorek,136,apartment,5.5,140,7940000,32.072814,34.784580
100174,2025-09-20,Tel Aviv,Yad Eliyahu,Frug,55,apartment,5,120,6307000,32.081834,34.778436
100175,2025-11-23,Tel Aviv,Old North,Tchernichovsky,42,garden_apartment,3,62,3440000,32.086500,34.800253
100176,2026-04-16,Tel Aviv,Neve Tzedek,Hartom,165,apartment,2,45,2301000,32.089637,34.782991
100177,2026-03-31,Tel Aviv,Neve Tzedek,Marmorek,137,apartment,2.5,55,3249000,32.069357,34.803897
100178,2025-04-19,Tel Aviv,Florentin,Ben Yehuda,53,apartment,2.5,55,3166000,32.113939,34.787987
100179,2024-08-06,Tel Aviv,Lev HaIr,Ahad HaAm,26,apartment,2.5,55,3108000,32.070194,34.798297
100180,2025-10-20,Tel Aviv,Old North,Weizmann,109,apartment,3.5,75,4393000,32.094464,34.783011
100181,2025-08-01,Tel Aviv,Ramat Aviv,Frug,155,apartment,2,45,2305000,32.074069,34.772028
100182,2026-04-16,Tel Aviv,Florentin,HaShalom,133,apartment,4,90,4794000,32.074593,34.797182
100183,2024-11-13,Tel Aviv,Lev HaIr,Rambam,74,apartment,5,120,6611000,32.108668,34.768351
100184,2025-07-26,Tel Aviv,Florentin,Weizmann,126,apartment,2,45,2496000,32.063909,34.782946
100185,2025-11-10,Tel Aviv,Lev HaIr,Jabotinsky,148,garden_apartment,4.5,100,3939000,32.068751,34.780045
100186,2024-05-31,Tel Aviv,Neve Tzedek,Allenby,29,apartment,3,68,3859000,32.086769,34.767946
100187,2024-06-03,Tel Aviv,Yad Eliyahu,Herzl,103,apartment,5,110,5997000,32.068878,34.797236
100188,2025-03-11,Tel Aviv,Old North,Weizmann,53,apartment,5.5,140,6441000,32.083162,34.807531
100189,2024-12-20,Tel Aviv,Ramat Aviv,Ahad HaAm,33,apartment,3,62,2671000,32.102429,34.766567
100190,2024-09-05,Tel Aviv,Old North,Weizmann,149,apartment,5.5,140,6604000,32.061376,34.778513
100191,2025-02-10,Tel Aviv,Old North,Ahad HaAm,177,apartment,5.5,140,6620000,32.081787,34.776326
100192,2025-01-29,Tel Aviv,Lev HaIr,Ben Yehuda,130,penthouse,5.5,140,7133000,32.083094,34.801797
100193,2024-08-23,Tel Aviv,Ramat Aviv,Weizmann,155,penthouse,3,62,3080000,32.053202,34.776683
100194,2025-11-05,Tel Aviv,Neve Tzedek,Herzl,43,penthouse,3.5,75,4218000,32.094788,34.788844
100195,2025-12-17,Tel Aviv,Florentin,Herzl,164,apartment,3.5,75,3885000,32.072549,34.776997
100196,2025-01-27,Tel Aviv,Neve Tzedek,HaShalom,112,apartment,2,45,2937000,32.091114,34.815054
100197,2025-07-18,Tel Aviv,Neve Tzedek,HaShalom,2,penthouse,4.5,100,5727000,32.086582,34.782939
100198,2024-05-30,Tel Aviv,Yad Eliyahu,Hartom,166,garden_apartment,5,120,7767000,32.095407,34.767126
100199,2024-07-18,Tel Aviv,Florentin,Allenby,165,penthouse,5.5,140,6822000,32.062970,34.771835
100200,2024-08-12,Tel Aviv,Lev HaIr,Tchernichovsky,108,apartment,6,160,8647000,32.089132,34.763227
100201,2024-08-11,Tel Aviv,Yad Eliyahu,Bialik,160,apartment,3,62,3255000,32.097896,34.764263
100202,2025-11-11,Tel Aviv,Yad Eliyahu,Frug,3,apartment,5.5,140,7203000,32.098203,34.758969
100203,2026-01-29,Tel Aviv,Ramat Aviv,Frug,52,penthouse,2,45,2361000,32.093713,34.768342
100204,2025-02-04,Tel Aviv,Ramat Aviv,Hartom,122,apartment,5,110,6862000,32.106475,34.783950
100205,2025-05-04,Tel Aviv,Lev HaIr,Ben Yehuda,176,apartment,5,110,5151000,32.101788,34.765916
100206,2026-01-12,Tel Aviv,Florentin,Weizmann,164,garden_apartment,6,160,9461000,32.085118,34.793568
100207,2026-03-16,Tel Aviv,Old North,Hartom,173,penthouse,2,45,2919000,32.097437,34.776745
100208,2025-07-11,Tel Aviv,Yad Eliyahu,Sokolov,57,apartment,6,160,8168000,32.078308,34.783497
100209,2026-03-08,Tel Aviv,Old North,Ben Yehuda,38,penthouse,5.5,140,7788000,32.101420,34.770414
100210,2025-03-20,Tel Aviv,Neve Tzedek,Frug,141,apartment,4.5,100,4232000,32.101357,34.797891
100211,2025-05-19,Tel Aviv,Lev HaIr,HaShalom,174,apartment,3,68,3525000,32.096887,34.760232
100212,2025-08-03,Tel Aviv,Old North,Borochov,78,apartment,4,82,4412000,32.072711,34.783427
100213,2024-08-03,Tel Aviv,Florentin,Marmorek,99,apartment,2.5,55,2711000,32.075715,34.795106
100214,2025-06-19,Tel Aviv,Neve Tzedek,Marmorek,89,garden_apartment,3,62,3510000,32.070043,34.773103
100215,2025-10-15,Tel Aviv,Lev HaIr,Rambam,37,apartment,2.5,55,2742000,32.077741,34.786976
100216,2025-12-12,Tel Aviv,Lev HaIr,Frug,137,apartment,3,68,3999000,32.071152,34.770168
100217,2026-02-14,Tel Aviv,Lev HaIr,Marmorek,77,penthouse,5.5,140,8249000,32.076532,34.773497
100218,2026-02-26,Tel Aviv,Florentin,Ahad HaAm,172,private_house,6,160,8424000,32.076451,34.778610
100219,2025-09-20,Tel Aviv,Neve Tzedek,Ahad HaAm,37,apartment,3,62,2767000,32.087863,34.767729
100220,2024-11-11,Tel Aviv,Lev HaIr,Hartom,2,private_house,5,120,6348000,32.092578,34.770453
100221,2024-10-18,Tel Aviv,Neve Tzedek,HaShalom,108,apartment,4.5,100,4642000,32.065485,34.797003
100222,2024-08-04,Tel Aviv,Florentin,Bialik,157,apartment,5.5,140,7918000,32.073880,34.756469
100223,2025-06-13,Tel Aviv,Neve Tzedek,Bialik,55,apartment,2.5,55,2493000,32.084378,34.776407
100224,2026-02-10,Tel Aviv,Ramat Aviv,Weizmann,122,apartment,5.5,140,7581000,32.060339,34.772968
100225,2025-07-31,Tel Aviv,Old North,Marmorek,75,apartment,4,90,4491000,32.092953,34.773206
100226,2025-06-10,Tel Aviv,Old North,Marmorek,130,apartment,5,110,6408000,32.102581,34.779062
100227,2026-01-17,Tel Aviv,Florentin,Rambam,163,apartment,4,82,4592000,32.103033,34.782532
100228,2024-10-27,Tel Aviv,Yad Eliyahu,Rambam,13,garden_apartment,4,90,4568000,32.084883,34.783073
100229,2025-11-04,Tel Aviv,Ramat Aviv,Sokolov,140,private_house,4.5,100,4540000,32.074207,34.776983
100230,2024-06-27,Tel Aviv,Florentin,Rambam,175,penthouse,6,160,8796000,32.089454,34.799104
100231,2025-02-03,Tel Aviv,Yad Eliyahu,Marmorek,10,apartment,5.5,140,7382000,32.079770,34.785882
100232,2024-07-15,Tel Aviv,Old North,Marmorek,36,apartment,2,45,1747000,32.076726,34.778274
100233,2025-07-12,Tel Aviv,Ramat Aviv,Rambam,165,apartment,3,62,2956000,32.090259,34.785480
100234,2024-10-13,Tel Aviv,Yad Eliyahu,Marmorek,31,apartment,5,110,5682000,32.061375,34.769549
100235,2025-02-14,Tel Aviv,Yad Eliyahu,Borochov,40,garden_apartment,2.5,55,3226000,32.086353,34.783687
100236,2026-02-22,Tel Aviv,Neve Tzedek,Ben Yehuda,39,apartment,5.5,140,6255000,32.086470,34.781914
100237,2024-06-16,Tel Aviv,Lev HaIr,Ben Yehuda,32,apartment,5.5,140,8995000,32.106933,34.772312
100238,2024-10-12,Tel Aviv,Lev HaIr,Hartom,191,apartment,3,68,3629000,32.095433,34.776460
100239,2024-06-05,Tel Aviv,Yad Eliyahu,Sokolov,182,penthouse,3,62,3234000,32.080305,34.754799
100240,2025-08-30,Tel Aviv,Florentin,Bialik,3,penthouse,2,45,2523000,32.102630,34.783408
100241,2024-08-22,Tel Aviv,Ramat Aviv,Allenby,125,garden_apartment,2.5,55,2659000,32.091974,34.792486
100242,2024-10-06,Tel Aviv,Lev HaIr,Ahad HaAm,174,apartment,6,160,8751000,32.098452,34.798734
100243,2025-05-11,Tel Aviv,Old North,HaShalom,116,apartment,5.5,140,8160000,32.103817,34.785150
100244,2025-07-22,Tel Aviv,Neve Tzedek,Rambam,167,apartment,3.5,75,3345000,32.090507,34.766415
